,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,Yield,ID,Source,NN Err
1416,10.0,483.15,8.0,8.51e-06,0.509,10.0,0.0,0.0,21.375,17330.308978084602,9.760212211638112,1673.3586307757255,28.71153641679958,53,SequentialFentonOxidationAndHydrothermalTreatmentToImproveTheEffectOfPretreatment.xlsx,14.098808279245343
1417,110.3333333333,413.15,5.0,0.08156690015191835,0.38,110.0,0.333333,5.75,22.38636363636364,1656.3054568781054,7.412344772572077,92.12479765123811,61.1979695431472,46,prehydrolysis_of_hardwoods_with_dilute_sulfuric_acid.xlsx,17.512487518000718
1418,19.470854293179396,408.15,8.0,0.3059039461609055,8.0,5.7208542931794,13.75,8.0,18.863636363636367,61.37481072051444,4.1169995021264585,3.0613951077456205,81.59615147210685,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,1.1792126903685727
1419,20.577688654410238,388.15,8.0,0.10196798205363516,8.0,9.32768865441024,11.25,8.0,18.863636363636367,25.788699808553076,3.2499364040645484,0.7413359337881938,82.58487159642941,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.7008415993713726
1420,735.58,373.73,10.0,2.039172503797959,0.5,660.0,75.58,1.0,19.77272727272727,686.4695500827597,6.531561868918779,11.685409930663726,95.08045977011496,44,PrehydrolysisOfEucalyptusWoodWithDiluteSulphuricAcidAtmostpheric.xlsx,19.4394304122048
1421,50.0,443.15,4.0,0.2,0.509,50.0,0.0,0.0,17.920454545454547,5754.777839054121,8.657785717292553,497.65037987544576,78.97121116043121,3,BioethanolProductionFromOxalicAcidPretreatedBiomassAndHemicellulose-richHydrolysates.xlsx,13.150562967071835
1422,103.787535289435,408.15,8.0,0.3059039461609055,8.0,90.037535289435,13.75,8.0,18.863636363636367,965.9460638106173,6.873107998089132,48.18169733446595,64.19919008484895,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,0.5001659942526118
1423,100.0,423.15,3.7,0.0,2.0,93.0,7.0,16.1,15.48,2758.465984912705,7.922430001627831,184.8103565821256,1.2661498708010337,21,HemicelluloseExtractionOfMixedSouthernHardwood.xlsx,7.721309311938224
1424,87.97823092237759,398.15,8.0,0.2039359641072704,8.0,75.47823092237759,12.5,8.0,18.863636363636367,411.06836413656606,6.01875953676262,15.943082320481533,82.16238122348642,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,3.903431943701264
1425,120.0,423.15,4.0,0.0,10.35,60.0,60.0,2.083333333333333,20.47,1779.6554741372292,7.484175070696675,119.23248811750038,4.7874938935026865,22,HemicelluloseRemovalFromHardwood.xlsx,26.262982180716065
1426,90.0,443.15,4.0,0.0,10.35,30.0,60.0,2.4166666666666665,20.47,3452.866703432473,8.146960093526562,298.59022792526747,19.3209574987787,22,HemicelluloseRemovalFromHardwood.xlsx,12.983367604981066
1427,67.4150141643059,448.15,20.0,0.10195862518989794,0.5,22.415014164305898,45.0,3.333333333333333,16.994318181818183,3620.8959428822322,8.194476772230997,326.3343367090062,44.20545307857361,31,kinetic_characterization_of_biomass_dilute_sulfuric_acid_hydrolysis_mixtures_of_hardwoods_softwood_and_switchgrass.xlsx,11.793984572714237
1428,108.90445285308279,408.15,8.0,0.2039359641072704,8.0,95.15445285308279,13.75,8.0,18.863636363636367,1020.8416844377288,6.928382746825105,50.919908376611396,70.43755210515387,20,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,6.9827104913843385
