TotalT,Temp,LSR,CA,Size,Mass,Moisture,IsoT,HeatT,Ramp,F_A,F_Gal,F_Glu,F_X,F_M,F_R,A,Gal,Glu,X,M,R,Furf,HMF,Source,ID,Yield,P,logP,Ro,logRo
161.66666666666666,423.15,5.0,0.34065,3.0,1666.6666666666665,49.2,120.0,41.66666666666666,3.0,0.4,0.7,,34.9,3.2,0.6,0.0,,,6.87,0.33,,,,EXTRACTION_OF_HEMICELLULOSES_ BY_ ACID.xlsx,D,9.84240687679083,238.46497623500076,5.474222449377143,3559.3109482744585,8.177322251256623
9.4375,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,0.0,9.4375,8.0,,,,18.863636363636367,,,,,,3.5161898735717405,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,14.9120341626175,0.0,0.0,0.0,0.0
38.35221264647542,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,28.914712646475426,9.4375,8.0,,,,18.863636363636367,,,,,,4.96426181234105,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,21.053254914988546,0.5075285950248661,-0.678202224776924,29.911674592121205,3.3982488587750788
87.2803103819614,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,77.8428103819614,9.4375,8.0,,,,18.863636363636367,,,,,,7.47301687738041,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,31.69279446792656,1.3663442783948854,0.3121387633574192,80.526783784768,4.388589846909422
130.69253461870719,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,121.2550346187072,9.4375,8.0,,,,18.863636363636367,,,,,,10.6173568099682,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,45.02782647119044,2.1283420005636984,0.7553432731168083,125.43583546949995,4.831794356668811
155.0667817074502,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,145.6292817074502,9.4375,8.0,,,,18.863636363636367,,,,,,12.4030615349046,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,52.600935666101435,2.556173586890965,0.9385114477033892,150.65049197535697,5.014962531255392
190.3128848213086,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,180.8753848213086,9.4375,8.0,,,,18.863636363636367,,,,,,13.863618111242198,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,58.795103315147635,3.174834592178826,1.155255534036011,187.11185957987277,5.231706617588014
218.1923216741092,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,208.7548216741092,9.4375,8.0,,,,18.863636363636367,,,,,,14.9102833988391,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,63.23397296857064,3.664191397794916,1.298607682837001,215.95256269003198,5.375058766389004
252.83463559095156,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,243.39713559095156,9.4375,8.0,,,,18.863636363636367,,,,,,15.9432593908567,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,67.61478681423563,4.272254328441696,1.4521416336970852,251.78932280824156,5.528592717249088
285.5144520935494,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,276.07695209354944,9.4375,8.0,,,,18.863636363636367,,,,,,16.5876784171523,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,70.34774461250132,4.84587031273389,1.5781268603222194,285.59591977869746,5.654577943874222
362.3935360667308,373.65,8.0,0.10196798205363516,8.0,16.67,20.0,352.9560360667308,9.4375,8.0,,,,18.863636363636367,,,,,,17.7197649091639,,,,,Generation of xylose solutions from Eucalyptus globulus wood.xlsx,E,75.14888250633365,6.1952986799725185,1.8237907269895175,365.1257484462658,5.90024181054152
