Unnamed: 0,TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,malic,none,oxalic,phosphoric,sulfuric,acacia,aspen,basswood,beech,birch,carob,eucalyptus,maple,meranti,mixed,oak,olive,paulownia,poplar,vine,willow,Yield
1777,180.3333333,413.15,5,0.0815669,0.38,180,0.333333,5.75,22.38636364,2710.31802,7.904821258,150.7496689,5.015620639,198.059504,5.288567511,3.695454545,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.19796954
1778,30,403.15,8,0.407834501,8,30,0,0,19.43,229.3147896,5.435095687,10.14446741,2.316928474,12.54317906,2.529177016,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.75146213
1779,26.25,448.15,10,0,8,7.5,18.75,8,18.86363636,1211.541486,7.099648783,109.1905411,4.69309444,173.6693751,5.157153348,2.128411429,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2.841445783
1780,155,403.15,10,0.611751751,0.5,120,35,3,19.77272727,917.2591584,6.821390048,40.57786962,3.703222835,50.17271623,3.915471378,2.128411429,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,69.28735632
1781,118,433.15,4,0.045708819,0.42,118,0,0,25.02272727,6894.513536,8.838481235,534.6355813,6.281585358,786.4435502,6.667520946,3.439166667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,46.05413261
1782,6.75,448.15,9,0.152937938,0.84,2.75,4,75,16.59090909,444.2318782,6.096346674,40.03653174,3.689792331,63.67877086,4.15385124,3.695454545,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.82713056
1783,285,433.15,4.76,0,5,107.8125,177.1875,0.761904762,21.59,6299.277463,8.748190217,488.4779543,6.191294341,718.5461462,6.577229929,3.695454545,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.43653492
1784,8,483.15,1.53164557,0.101307885,6,7.5,0.5,370,17.04545455,12997.73173,9.472530139,1255.018973,7.134905969,2350.511206,7.762388118,2.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.95432674
1785,30,373.15,10,0.407834501,0.425,30,0,0,15,30,3.401197382,0.498811545,-0.695526921,0.504144106,-0.684893127,3.27606383,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,28.6
1786,1.003333333,463.15,3.9,0.1631338,0.38,0.67,0.333333,8.25,21.93181818,299.2314483,5.701217349,29.06092963,3.369394648,49.72543289,3.90651653,3.248888889,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,73.40932642
