TotalT,Temp,LSR,CA,Size,IsoT,HeatT,Ramp,F_X,Ro,logRo,P,logP,H,logH,Acetyl,acetic,fenton,formic,none,oxalic,sulfuric,acacia,aspen,beech,birch,eucalyptus,maple,mixed,oak,paulownia,poplar,salix,vine,Yield
8,483.15,1.53164557,0.101307885,6,7.5,0.5,370,17.04545455,12997.73173,9.472530139,1255.018973,7.134905969,2350.511206,7.762388118,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,46.57863962
135,423.15,4,0,4,100,35,2,19.48,2966.092457,7.995000694,198.7208135,5.291900893,276.6289875,5.622677213,5.479512195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.540041068
95.24366546,388.15,8,0.203935964,8,83.99366546,11.25,8,18.86363636,232.2212398,5.447690537,6.675557549,1.898452729,7.491653866,2.013789583,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77.58803582
437.1602723,373.65,8,0.203935964,8,427.7227723,9.4375,8,18.86363636,442.4703969,6.092373562,7.507649837,2.015922479,7.615470821,2.030181813,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,82.69416334
92.69544271,398.15,8,0.101967982,8,80.19544271,12.5,8,18.86363636,436.7591694,6.079381943,16.93948744,2.829647432,20.29558608,3.010403428,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79.50330573
78.92631373,398.15,8,0.203935964,8,66.42631373,12.5,8,18.86363636,361.7699539,5.891008523,14.03106797,2.641274011,16.8109424,2.822030008,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.15080384
40,443.15,10,0.865916206,0.178,10,30,4.833333333,19.77272727,1150.955568,7.048347805,99.53007598,4.60045987,154.3257006,5.039065308,5.479512195,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.095091953
139.4241147,428.15,8,0,5,119.4241147,20,6.5,17.84090909,4971.588598,8.511494705,360.0738888,5.886309257,515.422674,6.24498729,4.056615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.587870639
64.05430264,398.15,8,0.203935964,8,51.55430264,12.5,8,18.86363636,280.7742391,5.637550927,10.8896894,2.387816415,13.04718512,2.568572411,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79.07291962
100,423.15,20,0.1086,2,95,5,25,12.386,2817.787834,7.9437074,188.7847729,5.240607598,262.7975381,5.571383919,1.595878788,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.893751009
51.26882811,408.15,8,0.101967982,8,37.51882811,13.75,8,18.86363636,402.5117327,5.997724246,20.07741343,2.999595473,25.59929904,3.24256497,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79.83736141
35.71428571,443.15,15,0,0.59,15,20.71428571,7,16.03409,1726.433352,7.453812913,149.295114,5.005924978,231.4885509,5.444530416,2.575238095,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1.403260179
139.9145456,438.15,8,0,5,109.9145456,30,4.666666667,16.70454545,9013.537265,9.106482867,741.4303932,6.608581284,1120.076563,7.021152322,4.056615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17.74331378
261.5347097,373.65,8,0.203935964,8,252.0972097,9.4375,8,18.86363636,260.7893703,5.563713071,4.424963313,1.487261988,4.488512347,1.501521321,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,80.69537295
188.0917759,388.15,8,0.305903946,8,176.8417759,11.25,8,18.86363636,488.9227805,6.192204564,14.05483909,2.642966755,15.77306297,2.75830361,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.13639495
183.2499401,373.65,8,0.305903946,8,173.8124401,9.4375,8,18.86363636,179.8053887,5.191875092,3.050861497,1.115424009,3.094676392,1.129683342,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,77.59352388
482.8883481,373.65,8,0.407871928,8,473.4508481,9.4375,8,18.86363636,489.7751493,6.193946407,8.310296792,2.117495323,8.429644977,2.131754657,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,80.09169969
50,393.15,5,0,13.375,30,20,2,16.81818182,116.4112971,4.757129585,3.91125796,1.363859051,4.537251672,1.51232147,5.479512195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.045667787
95,393.15,5,0.2,3,65,30,3.166666667,16.93181818,252.2244771,5.530319473,8.474392247,2.137048939,9.830711955,2.285511358,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,50.79194631
4,463.15,1.53164557,0.050653942,6,3.5,0.5,330,17.04545455,1563.149357,7.354457884,151.8108264,5.022635183,259.759724,5.559757065,2.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,31.78298656
198.1107203,473.15,40,0,0.425,193.8566553,4.254065041,41.13712375,20.9,170549.3561,12.04678001,16752.85629,9.726324048,30018.85439,10.30958094,3.515384615,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.480705512
62.5,438.15,8,0,2,30,32.5,2,19.48,2460.148622,7.807977043,202.3654983,5.31007546,305.7129218,5.722646497,5.479512195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2.665904423
184.8011198,398.15,8,0.101967982,8,172.3011198,12.5,8,18.86363636,938.3836715,6.844158897,36.39474459,3.594424385,43.6053732,3.775180381,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,78.22747257
125.3230717,388.15,8,0.407871928,8,114.0730717,11.25,8,18.86363636,315.38319,5.753788376,9.066176014,2.204550567,10.17452881,2.319887421,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,79.79325679
12.14237474,513.15,40,0,0.425,6.915951973,5.226422764,41.13712375,20.9,91615.52719,11.42535605,7199.017511,8.881699839,15237.51384,9.631515682,3.515384615,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.61867495
201.5887151,373.65,8,0.203935964,8,192.1512151,9.4375,8,18.86363636,198.7764737,5.292180946,3.372754813,1.215729862,3.421192573,1.229989196,1.595878788,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,76.3056938
99.40317507,418.15,8,0,5,79.40317507,20,6,17.84090909,1678.046861,7.425385813,102.9662859,4.634401614,139.2970851,4.936608956,4.056615385,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.191608622
0.663333333,463.15,3.9,0.1631338,0.38,0.33,0.333333,8.25,21.93181818,147.3826537,4.993032291,14.31359221,2.66120959,24.49163112,3.198331472,3.7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,57.90673575
94.15873016,448.15,6,0,5,90.15873016,4,37.5,15.1,14564.13892,9.586317548,1312.597404,7.179763204,2087.708043,7.643822113,3.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,26.49006623
